DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP
052901,CRANE ISD,18,1147,2,72.2,25.2,0.2,0.1,0.1,0.3,36.5,7.9
053001,CROCKETT COUNTY CONSOLIDATED CSD,15,810,0.6,75.6,23,0.5,0.4,0,0,60.5,7.7
054901,CROSBYTON CISD,17,361,4.4,70.6,23.8,0,0,0,1.1,76.5,11.9
054902,LORENZO ISD,17,298,6,83.2,10.7,0,0,0,0,87.6,20.8
054903,RALLS ISD,17,532,1.1,75.8,22.6,0.2,0.2,0,0.2,85.5,10.3
055901,CULBERSON COUNTY-ALLAMOORE ISD,18,459,0,89.8,7.6,0.2,1.1,0.4,0.9,73.2,5.4
056901,DALHART ISD,16,1770,1.1,51.8,45,0.2,0.6,0.2,1.1,59.8,6.8
056902,TEXLINE ISD,16,156,1.9,49.4,46.2,1.9,0,0,0.6,61.5,9
057802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10,726,21.8,74.2,2.5,0,0.6,0,1,81,7.3
057803,UPLIFT EDUCATION - NORTH HILLS PRE,10,2198,5.6,34.3,16.3,0.1,40.4,0,3.2,27.3,4.8
057804,TEXANS CAN ACADEMIES,10,4258,28.5,67.7,2.8,0.2,0.4,0,0.3,94.2,11.7
057805,DALLAS COMMUNITY CHARTER SCHOOL,10,273,2.2,68.9,23.8,0,1.1,0,4,57.9,8.4
057806,ADVANTAGE ACADEMY,10,1630,21,57.1,18.3,0.2,1.2,0.2,1.8,73.6,6.5
057807,LIFE SCHOOL,10,4644,48.4,29.6,17.5,0.4,0.8,0.1,3.2,55.4,6.9
057808,UNIVERSAL ACADEMY,10,1518,16.6,33.1,1.4,0.2,48.2,0,0.5,42.8,1.9
057809,NOVA ACADEMY,10,200,39,59.5,1.5,0,0,0,0,90.5,2.5
057810,ACADEMY OF DALLAS,10,603,82.3,16.7,0.8,0,0,0,0.2,54.6,13.8
057813,TRINITY BASIN PREPARATORY,10,1732,3.6,94.6,0.5,0.5,0.8,0,0.1,90.5,6.8
057814,ACADEMY FOR ACADEMIC EXCELLENCE,10,535,49.2,39.6,9.7,0,0,0,1.5,100,25.6
057815,FAITH FAMILY ACADEMY OF OAK CLIFF,10,2182,37.1,61.3,1.4,0.1,0,0,0.1,96,4.8
057816,A W BROWN-FELLOWSHIP LEADERSHIP AC,10,1991,97.7,1.6,0.2,0.1,0.1,0.2,0.2,82.4,6.4
057817,FOCUS LEARNING ACADEMY,10,888,91.7,7.9,0.3,0.1,0,0,0,82.4,15.8
057819,JEAN MASSIEU ACADEMY,10,196,27,62.2,9.7,0,0,0,1,93.4,10.7
057825,HONORS ACADEMY,10,759,19,54.2,23.7,0.4,0.3,0.3,2.2,74.6,9.2
057827,NOVA ACADEMY (SOUTHEAST),10,680,40.1,57.5,1.5,0,0,0.1,0.7,93.8,6.2
057828,WINFREE ACADEMY CHARTER SCHOOLS,10,1406,16,38.7,40.2,1.3,1.6,0.4,1.8,53.9,13.9
057829,A+ ACADEMY,10,994,3.5,90,4.2,0,0,0,2.2,93.2,10.4
057830,INSPIRED VISION ACADEMY,10,1081,10.9,87.7,0.8,0.1,0.1,0.1,0.3,90.7,8.5
057831,GATEWAY CHARTER ACADEMY,10,779,97.4,1,0.4,0.3,0.8,0,0.1,86.4,7.8
057832,ALPHA CHARTER SCHOOL,10,115,26.1,53.9,17.4,0,0.9,0,1.7,60,13
057833,EDUCATION CENTER INTERNATIONAL ACA,10,362,24.9,24,41.2,0.6,7.7,0,1.7,41.2,8
057834,EVOLUTION ACADEMY CHARTER SCHOOL,10,536,47.2,40.9,8.6,1.3,0.6,0,1.5,69.2,12.3
057835,GOLDEN RULE CHARTER SCHOOL,10,1349,9.2,89,1,0.1,0.8,0,0,97.9,3.6
057836,ST ANTHONY SCHOOL,10,311,98.7,1.3,0,0,0,0,0,67.8,5.8
057837,KIPP DALLAS-FORT WORTH,10,564,48.2,48.9,2.1,0.4,0,0,0.4,94.5,5.7
057838,UPLIFT EDUCATION - PEAK PREPARATOR,10,1943,12.6,82.6,2.7,0,0.8,0.2,1.2,83.9,7.1
057839,LA ACADEMIA DE ESTRELLAS,10,1058,1.2,97.4,1.1,0.1,0,0,0.1,94.5,9.7
057840,RICHLAND COLLEGIATE HIGH SCHOOL,10,458,17.9,23.4,27.5,0.2,29,0.2,1.7,18.3,0
057841,RECONCILIATION ACADEMY,10,203,16.3,80.3,2.5,0,0.5,0,0.5,97.5,4.4
057842,UPLIFT EDUCATION - WILLIAMS PREPAR,10,2335,6.2,92,0.7,0.1,0.6,0,0.4,91.1,5.2
057843,UPLIFT EDUCATION - HAMPTON PREPARA,10,950,68.8,28.6,0.8,0.1,0.3,0,1.3,74.6,6.1
057844,MANARA ACADEMY,10,494,23.5,3.2,24.9,0,46.6,0,1.8,49.8,6.1
057845,UME PREPARATORY ACADEMY,10,392,6.4,19.4,63,0.5,8.2,0,2.6,17.1,5.4
057846,LEGACY PREPARATORY,10,980,23.8,54.6,15.6,0,3.7,0,2.3,74.2,4.8
057847,VILLAGE TECH SCHOOLS,10,636,31.4,30.2,30.2,0.2,1.9,0.2,6,27.5,0.8
057848,INTERNATIONAL LEADERSHIP OF TEXAS,10,2499,19,55.9,17.7,0.4,5.5,0,1.4,54.9,4.4
057903,CARROLLTON-FARMERS BRANCH ISD,10,26289,16.5,54.9,16,0.3,10.5,0.1,1.6,62.4,9
057904,CEDAR HILL ISD,10,7848,66,23.2,6.4,0.4,1.3,0.1,2.7,68.2,8.4
057905,DALLAS ISD,10,159487,23.4,69.8,4.7,0.4,1.2,0.1,0.5,89.2,7.4
057906,DESOTO ISD,10,9399,77.5,17.8,2.9,0.2,0.3,0,1.2,65.9,9.7
057907,DUNCANVILLE ISD,10,13074,40.6,50.2,5.7,0.8,1.8,0.1,0.9,74.8,9.1
057909,GARLAND ISD,10,57504,17.2,50.8,21.3,0.5,8.2,0.1,2,60.9,8.6
057910,GRAND PRAIRIE ISD,10,27637,17.5,65.4,11.8,0.3,3.3,0.1,1.7,71.8,8.9
057911,HIGHLAND PARK ISD,10,7012,0.5,5,88.2,0.2,4.3,0.1,1.6,0,7.1
057912,IRVING ISD,10,35259,12.8,71.7,9.6,1.3,3.3,0.2,1.2,80.6,7.4
057913,LANCASTER ISD,10,6820,78,17.9,2.8,0.7,0.2,0,0.4,83.9,8.7
057914,MESQUITE ISD,10,39806,24.5,53,18,0.6,1.8,0.1,1.9,70.7,9.9
057916,RICHARDSON ISD,10,38169,22.3,40,27.8,0.4,6.9,0.1,2.5,57.7,10.4
057919,SUNNYVALE ISD,10,1366,6,9.6,56.9,0.2,23.9,0.1,3.3,10.8,8.1
057922,COPPELL ISD,10,11329,4.6,12.8,43.9,0.5,35.2,0.1,2.8,10.2,4.7
058902,DAWSON ISD,17,170,0,63.5,34.7,1.2,0,0,0.6,51.8,8.2
058905,KLONDIKE ISD,17,256,0.4,33.6,63.7,0.4,1.2,0,0.8,34.8,5.9
058906,LAMESA ISD,17,2046,3.6,76.8,17.5,0.6,0.6,0,0.8,73,7.3
058909,SANDS CISD,17,212,0.5,43.4,53.8,1.4,0.9,0,0,54.2,8.5
059901,HEREFORD ISD,16,4210,0.6,86.9,11.7,0.1,0.3,0,0.4,82.1,6.7
059902,WALCOTT ISD,16,145,2.1,78.6,19.3,0,0,0,0,72.4,4.8
060902,COOPER ISD,08,791,13.7,8.2,73.3,1.3,0.1,0,3.4,64.2,9.4
060914,FANNINDEL ISD,08,200,35,3.5,53,1,1,0,6.5,82.5,11.5
061802,TEXAS EDUCATION CENTERS,11,664,13.4,32.8,50,0.2,0.8,0.9,2,50.8,13.4
061804,LEADERSHIP PREP SCHOOL,10,425,6.6,9.9,36.9,0.7,43.1,0,2.8,4,4.7
061901,DENTON ISD,11,26047,12,30.8,51.6,0.8,2.8,0.1,1.8,42.3,9.6
061902,LEWISVILLE ISD,11,52698,9.4,27.5,47.9,0.4,11.7,0.1,3,30.9,9.6
061903,PILOT POINT ISD,11,1414,2.5,39.5,54.1,0.8,0.6,0.2,2.1,51.3,7.4
061905,KRUM ISD,11,1995,1.8,24,71.4,0.7,0.6,0.1,1.5,35.9,9.6
061906,PONDER ISD,11,1255,1.5,19.9,75.6,0.7,0.6,0.1,1.6,39.4,7.6
061907,AUBREY ISD,11,2060,3.5,16.8,76.7,0.5,0.7,0,1.7,28.4,7.2
061908,SANGER ISD,11,2673,2.7,24.1,68.6,1,0.6,0,3,43.7,9.3
061910,ARGYLE ISD,11,1947,0.3,10.8,86.3,0.5,0.8,0,1.2,12.6,8.3
061911,NORTHWEST ISD,11,18893,6.3,20.1,67.4,0.6,2.9,0.1,2.5,19.1,7.8
061912,LAKE DALLAS ISD,11,3952,7.1,26.2,58.5,1.1,2.4,0.2,4.6,41.1,11
061914,LITTLE ELM ISD,11,6607,14.7,40.1,39.7,0.4,2,0.1,3,47.9,7.9
062901,CUERO ISD,03,2104,13,43.6,40.4,0.1,0.5,0,2.3,56.4,9.5
062902,NORDHEIM ISD,03,173,2.9,42.2,54.9,0,0,0,0,44.5,10.4
062903,YOAKUM ISD,03,1615,8.4,59.3,30.7,0.1,0.4,0,1.2,70.7,10.5
062904,YORKTOWN ISD,03,505,4.6,49.5,45.5,0,0,0,0.4,55,10.3
062905,WESTHOFF ISD,03,69,7.2,40.6,52.2,0,0,0,0,50.7,2.9
062906,MEYERSVILLE ISD,03,116,0,15.5,84.5,0,0,0,0,26.7,8.6
063903,SPUR ISD,17,292,2.4,44.5,51,0,0,0,2.1,53.8,10.3
063906,PATTON SPRINGS ISD,17,105,0,28.6,71.4,0,0,0,0,85.7,11.4
064903,CARRIZO SPRINGS CISD,20,2455,0.5,93,5.6,0.1,0.6,0,0.2,75.2,7.1
065901,CLARENDON ISD,16,458,10.5,13.8,71.6,0,0.7,0.7,2.8,52.4,9.4
065902,HEDLEY ISD,16,112,1.8,19.6,75.9,1.8,0,0,0.9,74.1,14.3
066005,RAMIREZ CSD,02,24,0,95.8,4.2,0,0,0,0,100,0
066901,BENAVIDES ISD,02,366,0,99.2,0.8,0,0,0,0,76.2,10.7
066902,SAN DIEGO ISD,02,1345,0.3,98.4,1.3,0,0,0,0,77.2,7.5
066903,FREER ISD,02,833,0.2,88.7,9.7,0.4,0.5,0,0.5,67.8,11.3
067902,CISCO ISD,14,878,0.3,17.9,78,0.3,0.5,0,3,61.6,9.5
067903,EASTLAND ISD,14,1077,1.6,26.6,69.8,0.2,1.1,0,0.6,51.5,8.3
067904,GORMAN ISD,14,313,0.6,37.7,59.4,0,0,0,2.2,67.1,12.5
067907,RANGER ISD,14,469,2.8,22.8,71.2,1.3,0.4,0,1.5,76.3,11.5
067908,RISING STAR ISD,14,180,0.6,19.4,78.3,0,0.6,0,1.1,80.6,8.9
068801,RICHARD MILBURN ACADEMY (ECTOR COU,18,712,3.8,65.2,29.9,0.4,0,0.1,0.6,60.4,9.7
068802,COMPASS ACADEMY CHARTER SCHOOL,18,465,2.2,29,66.7,0,0.2,0,1.9,29,4.1
068901,ECTOR COUNTY ISD,18,30796,4,72.1,21.5,0.4,0.9,0.2,1,50.8,7.1
069901,ROCKSPRINGS ISD,15,275,0,82.5,17.5,0,0,0,0,74.5,8.7
069902,NUECES CANYON CISD,15,291,0,47.8,50.5,0.3,0,0,1.4,71.1,10.3
070801,WAXAHACHIE FAITH FAMILY ACADEMY,10,414,19.1,35.5,44.4,0.2,0,0,0.7,43.5,6.3
070901,AVALON ISD,10,337,1.5,36.2,61.7,0,0,0.3,0.3,60.8,11.6
070903,ENNIS ISD,10,5691,11.9,55.9,30.3,0.1,0.4,0.3,1,70,9.5
070905,FERRIS ISD,10,2470,7.1,68.3,23,0.7,0.2,0,0.6,80.1,8.8
070907,ITALY ISD,10,513,13.1,31,52,0.2,0.8,0,2.9,57.1,9.2
070908,MIDLOTHIAN ISD,10,7694,4.8,20.6,70.6,0.5,1.3,0.1,2,23.5,9
070909,MILFORD ISD,10,246,21.1,32.9,39,0.4,0,0,6.5,76,10.6
070910,PALMER ISD,10,1157,1.5,41.6,54.7,0.3,0.3,0,1.6,56.6,13.6
070911,RED OAK ISD,10,5571,17.8,32.3,46.3,0.7,0.8,0.1,2,43.9,10.1
070912,WAXAHACHIE ISD,10,7795,11.9,35.4,48.7,0.4,0.5,0.1,3,50,9.9
070915,MAYPEARL ISD,10,1036,2.1,16.5,78.8,0.4,0.7,0.3,1.3,39.5,11
071801,BURNHAM WOOD CHARTER SCHOOL DISTRI,19,914,3.1,81.3,11.3,0.1,3.3,0,1,45.8,4.2
071803,PASO DEL NORTE ACADEMY CHARTER DIS,19,306,0,96.4,3.6,0,0,0,0,94.8,3.3
071804,EL PASO ACADEMY,19,417,1.4,93.5,4.3,0,0.2,0.5,0,68.3,7.2
071806,HARMONY SCIENCE ACAD (EL PASO),19,1731,3.2,86.2,9.1,0.4,0,0.2,0.9,74.4,5.4
071807,LA FE PREPARATORY SCHOOL,19,275,0,98.5,1.5,0,0,0,0,93.8,5.8
071809,VISTA DEL FUTURO CHARTER SCHOOL,19,255,2.4,87.8,8.6,0,0.8,0,0.4,56.1,5.5
071901,CLINT ISD,19,11805,0.8,94.7,3.8,0.2,0.1,0,0.4,85.6,6.3
071902,EL PASO ISD,19,61290,3.9,82.8,10.4,0.2,1.1,0.3,1.3,69.7,9.5
071903,FABENS ISD,19,2355,0,98.9,1.1,0,0,0,0,89.3,10.9
071904,SAN ELIZARIO ISD,19,4109,0.1,99.3,0.5,0.1,0,0,0,93,7.9
071905,YSLETA ISD,19,43007,1.7,92.9,4.5,0.2,0.3,0.1,0.4,80.9,10.4
071906,ANTHONY ISD,19,813,0.7,94.2,4.8,0,0,0,0.2,100,8.5
071907,CANUTILLO ISD,19,5977,0.8,94.6,3.9,0.1,0.3,0,0.3,74.8,9.3
071908,TORNILLO ISD,19,1336,0,99,0.9,0,0,0,0.1,94.4,5
071909,SOCORRO ISD,19,44405,2.2,91.2,5,0.3,0.6,0.2,0.5,72.2,7.8
072801,PREMIER HIGH SCHOOLS,11,3373,6.5,61.3,29.7,0.5,0.4,0,1.5,66,7.7
072802,ERATH EXCELS ACADEMY INC,11,208,1.4,58.2,38.5,1,0,0,1,87,12
072901,THREE WAY ISD,11,61,0,57.4,37.7,0,0,0,4.9,78.7,8.2
072902,DUBLIN ISD,11,1179,0.9,58.1,39.2,0.3,0.2,0.1,1.3,76.2,5.6
072903,STEPHENVILLE ISD,11,3711,1,30,65.6,0.8,0.9,0,1.8,48.7,7.8
072904,BLUFF DALE ISD,11,112,0,8,86.6,1.8,0,0,3.6,20.5,4.5
072908,HUCKABAY ISD,11,164,0,17.7,79.3,1.8,0.6,0,0.6,44.5,2.4
072909,LINGLEVILLE ISD,11,219,0,48.4,49.3,0,0,0,2.3,56.2,5.9
072910,MORGAN MILL ISD,11,114,0,13.2,84.2,0,0,0,2.6,43,4.4
073901,CHILTON ISD,12,509,17.3,56.8,23.6,0.2,0,0.2,2,80.4,11.6
073903,MARLIN ISD,12,965,56.6,33.1,8.5,0.3,0.3,0.1,1.1,88.4,14.1
073904,WESTPHALIA ISD,12,158,0.6,24.1,73.4,0.6,0,0,1.3,17.7,8.9
073905,ROSEBUD-LOTT ISD,12,634,13.4,36.1,47.3,0.5,0,0,2.7,68.5,12
074903,BONHAM ISD,10,1949,8.1,20.8,65.6,1.4,0.4,0.1,3.7,68.8,12.1
074904,DODD CITY ISD,10,359,1.7,5.8,90.3,0.3,0,0,1.9,44.6,7.8
074905,ECTOR ISD,10,269,2.2,12.3,82.2,1.5,1.1,0,0.7,48.7,13.8
074907,HONEY GROVE ISD,10,586,12.1,17.2,64.5,1.7,0.2,0,4.3,63,10.8
074909,LEONARD ISD,10,884,4.1,16.7,74.7,1.7,0.3,0,2.5,58.9,9.4
074911,SAVOY ISD,10,269,0,6.3,84.8,1.9,0.7,0,6.3,50.6,11.9
074912,TRENTON ISD,10,534,2.2,15.4,78.5,1.5,0.6,0,1.9,42.1,9.4
074917,SAM RAYBURN ISD,10,498,1,9,86.3,0.6,0,0,3,45,9
075901,FLATONIA ISD,13,609,3.9,55.5,38.8,0.2,0.7,0,1,58.5,9
075902,LA GRANGE ISD,13,1901,10.8,35.7,50.5,0.3,0.6,0,2.2,51.5,7.6
075903,SCHULENBURG ISD,13,706,14,38.7,45,0.6,0.4,0,1.3,61.3,9.3
075906,FAYETTEVILLE ISD,13,211,1.4,10.4,87.7,0,0,0,0.5,27,8.5
075908,ROUND TOP-CARMINE ISD,13,284,4.6,16.2,74.6,0.7,0,0,3.9,31.7,10.9
076903,ROBY CISD,14,238,1.7,31.9,62.2,0,0,0,4.2,54.2,9.2
076904,ROTAN ISD,14,302,3,49,45.4,0.3,0.3,0,2,64.2,8.6
077901,FLOYDADA ISD,17,746,3.6,79.2,16.8,0,0,0,0.4,72.3,7.6
077902,LOCKNEY ISD,17,505,1.8,76.2,21.6,0.2,0,0,0.2,69.3,9.3
078901,CROWELL ISD,09,222,3.6,30.6,63.1,0,1.4,0,1.4,63.5,15.3
079901,LAMAR CISD,04,27024,18.6,45.4,28.3,0.3,5.9,0.1,1.5,47.6,8.3
079906,NEEDVILLE ISD,04,2825,3.8,43.1,51.3,0.2,0.4,0,1.2,37.6,8.4
079907,FORT BEND ISD,04,70512,29.2,26.4,18.6,0.4,22.9,0.1,2.4,35.9,6.3
079910,STAFFORD MSD,04,3479,40.4,44.4,4.8,0.3,7.9,0.1,2.1,69,8.2
080901,MOUNT VERNON ISD,08,1646,4.7,25.4,65.4,0.3,1.1,0,3.1,55.3,9.2
081902,FAIRFIELD ISD,12,1762,16.2,21.2,58.6,0.5,1,0.2,2.4,49.1,7.2
081904,TEAGUE ISD,12,1270,14.1,26.3,56.9,0.5,0.2,0.1,1.9,53.6,6.7
081905,WORTHAM ISD,12,492,14.2,14.4,68.9,0,0.6,0,1.8,53,8.7
081906,DEW ISD,12,145,6.2,12.4,75.9,0,1.4,0,4.1,48.3,6.2
082902,DILLEY ISD,20,1006,0.1,90.9,8.4,0,0.5,0,0.1,79.5,7.2
082903,PEARSALL ISD,20,2318,0.3,93,6.1,0.2,0.2,0,0.1,86,8.4
083901,SEAGRAVES ISD,17,590,8.1,80.2,11.2,0.2,0.2,0,0.2,63.9,6.8
083902,LOOP ISD,17,118,1.7,58.5,39.8,0,0,0,0,54.2,5.9
083903,SEMINOLE ISD,17,2725,1.1,45.8,51.7,0.1,0.5,0.1,0.7,46.9,7.6
084801,MAINLAND PREPARATORY ACADEMY,04,412,76.2,16,4.4,0.2,0.7,0,2.4,84.5,1
084802,ODYSSEY ACADEMY INC,04,708,11,68.2,17.2,0.7,0.4,0,2.4,84.9,8.6
084804,AMBASSADORS PREPARATORY ACADEMY,04,320,61.9,26.6,7.8,0.3,2.2,0,1.3,90.6,5.3
084805,PREMIER LEARNING ACADEMY,04,418,52.6,27.3,17.5,0.2,1,0,1.4,77.3,6.2
084901,DICKINSON ISD,04,9966,16.9,47.2,31,0.4,2.5,0.1,2.1,63.8,8.9
084902,GALVESTON ISD,04,6796,23.9,44.9,26.9,0.7,2.1,0.1,1.5,73.6,7.1
084903,HIGH ISLAND ISD,05,148,2,7.4,81.1,0,1.4,0,8.1,64.2,8.1
084904,LA MARQUE ISD,04,2523,69.2,19.5,7.6,2.1,0.3,0.1,1.3,78.1,10.5
084906,TEXAS CITY ISD,04,6069,19.9,42.7,34.8,0.9,0.6,0.2,0.9,67.4,8.2
084908,HITCHCOCK ISD,04,1528,46.1,27.7,23.2,0.3,0.4,0.1,2.3,87.7,8.5
084909,SANTA FE ISD,04,4606,0.4,17.7,79.3,0.5,0.7,0.1,1.3,35.4,10.5
084910,CLEAR CREEK ISD,04,39808,8.2,28,50.1,0.2,9.8,0.1,3.5,27.5,9.5
084911,FRIENDSWOOD ISD,04,6045,2,15.4,74.2,0.3,6.1,0.1,2,8.5,7.9
085902,POST ISD,17,949,6.4,60.1,30,0.9,0.1,0,2.4,68.6,10.4
085903,SOUTHLAND ISD,17,160,3.1,51.3,45,0,0,0,0.6,74.4,9.4
086024,DOSS CONSOLIDATED CSD,13,19,0,26.3,73.7,0,0,0,0,0,26.3
086901,FREDERICKSBURG ISD,13,2933,0.1,46.5,51.8,0.2,0.3,0.1,1.1,52.6,8.5
086902,HARPER ISD,13,592,0.5,13.2,84.8,0.3,0.3,0.2,0.7,39.2,12.2
087901,GLASSCOCK COUNTY ISD,18,296,0,48,52,0,0,0,0,43.6,7.4
088902,GOLIAD ISD,03,1344,4.9,47.1,45.2,0.2,0.2,0.1,2.3,48.3,9.8
089901,GONZALES ISD,13,2764,7.8,67.7,23.8,0.1,0.3,0,0.3,70.7,9.2
089903,NIXON-SMILEY CISD,13,1055,0.6,76.6,22.1,0,0,0,0.8,81.3,10.2
089905,WAELDER ISD,13,308,13,83.1,3.6,0,0,0,0.3,93.8,9.4
090902,LEFORS ISD,16,175,0.6,16,80.6,0,0,0,2.9,45.7,7.4
090903,MCLEAN ISD,16,213,1.4,11.7,85.4,0,0,0,1.4,44.1,7.5
090904,PAMPA ISD,16,3736,3.1,44,49.7,0.6,0.2,0,2.2,56.2,9.4
090905,GRANDVIEW-HOPKINS ISD,16,46,2.2,19.6,76.1,0,0,0,2.2,10.9,4.3
091901,BELLS ISD,10,780,0.5,5.9,87.2,2.1,0,0.4,4,37.1,7.9
091902,COLLINSVILLE ISD,10,516,2.7,14,81.6,0.2,0,0,1.6,41.3,6.2
091903,DENISON ISD,10,4404,11.1,16.4,63.2,2.5,0.8,0.1,5.8,65.1,14.8
091905,HOWE ISD,10,1056,0.4,13.1,80.9,1.7,0.6,0.3,3.1,44.4,9.1
091906,SHERMAN ISD,10,7137,13.2,36.4,41.9,1.3,2,0.1,5.2,66,11.2
091907,TIOGA ISD,10,295,0.3,29.2,66.4,1.7,1,0,1.4,55.6,8.5
091908,VAN ALSTYNE ISD,10,1332,1.7,11.5,84.1,0.9,0.2,0,1.6,29,7.3
091909,WHITESBORO ISD,10,1548,0.3,12.9,82,2.5,0.4,0.1,1.9,51.6,9.2
091910,WHITEWRIGHT ISD,10,797,5.3,10,79.4,0.3,0.4,0,4.6,46.4,8
091913,POTTSBORO ISD,10,1348,0.4,6.2,84.6,3.9,0.8,0,4.2,41.4,9.6
091914,S AND S CISD,10,870,0.6,7.7,85.7,1.7,0,0,4.3,50.7,8.5
091917,GUNTER ISD,10,764,0.7,22.3,71.7,1.6,0.7,0,3.1,32.2,7.9
091918,TOM BEAN ISD,10,718,1.7,4.3,88.6,0.7,0.3,0.3,4.2,47.1,11.1
092801,EAST TEXAS CHARTER SCHOOLS,07,173,5.8,15.6,74,0.6,0,0,4,29.5,5.8
092901,GLADEWATER ISD,07,1868,20.1,15.6,57.5,0.2,0.9,0.1,5.6,66,12.4
092902,KILGORE ISD,07,4011,16.3,29.5,48.4,0.9,1,0.1,3.7,61.7,7.1
092903,LONGVIEW ISD,07,8601,38.7,35.3,21.1,0.6,1.3,0.2,2.8,69.9,8
092904,PINE TREE ISD,07,4624,20.6,27.7,47.8,0.3,1.1,0.1,2.4,60.7,8.2
092906,SABINE ISD,07,1354,6.3,18.5,70.8,0.5,0.4,0,3.4,45.1,8.1
092907,SPRING HILL ISD,07,1849,10.4,14.5,70.5,0.4,1.5,0.3,2.4,32.9,5.3
092908,WHITE OAK ISD,07,1414,2.6,7.1,85.5,0.8,0.8,0,3,35.1,7.3
093901,ANDERSON-SHIRO CISD,06,779,8.1,16.2,73.2,0.6,0.5,0.1,1.3,46.6,6.8
093903,IOLA ISD,06,462,3,15.4,80.7,0.2,0.2,0,0.4,50.9,6.7
093904,NAVASOTA ISD,06,3056,24.4,47.1,27,0.2,0.3,0,1,74.5,6.6
093905,RICHARDS ISD,06,146,8.9,9.6,78.8,0,0,0,2.7,59.6,9.6
094901,SEGUIN ISD,13,7386,5.5,68.3,24.6,0.1,0.6,0,0.8,69.1,9.3
094902,SCHERTZ-CIBOLO-U CITY ISD,20,14056,11.1,38.4,43,0.4,2,0.3,4.8,27.9,8.3
094903,NAVARRO ISD,13,1687,1.4,42.9,53.5,0.2,0.5,0.1,1.4,38.8,7.5
094904,MARION ISD,13,1338,1.9,36.2,58.7,0.5,0.4,0.1,2.3,41,7.1
095901,ABERNATHY ISD,17,765,1.2,57.4,39.6,0.4,0.1,0,1.3,58,9.2
095902,COTTON CENTER ISD,17,122,0,59.8,39.3,0,0.8,0,0,77,11.5
095903,HALE CENTER ISD,17,673,1.8,68.9,26.9,0.4,0.4,0,1.5,73.7,8.3
095904,PETERSBURG ISD,17,279,1.4,79.2,18.6,0,0,0.4,0.4,74.2,7.9
095905,PLAINVIEW ISD,17,5523,3.7,77.9,16.5,0.4,0.4,0.1,1,79.3,8.4
096904,MEMPHIS ISD,16,509,7.9,56.4,34.2,0.4,0.6,0,0.6,66.4,11.2
096905,TURKEY-QUITAQUE ISD,16,196,2,37.2,59.2,0,0,0,1.5,56.1,9.2
097902,HAMILTON ISD,12,740,0.8,17,79.6,0.4,0.3,0,1.9,54.2,12.3
097903,HICO ISD,12,567,0.4,24.2,75,0.2,0,0,0.4,55.9,8.5
